comment,toxic
"верблюдов-т ? дебил бл ...","1"
"хохл отдушин затюкан россиянин мол вон хохл хуж хохл кисел придума","1"
"собак - собач смерт","1"
"страниц обнов деб оскорблен доказа факт - не-деб множествен числ писа вер - тво вообража друз ?","1"
"убед 6-страничн пдф скрипал отрав росс ? анализирова дума пыта ? ватник ? )","1"
"как стан явля эталон современ систем здравоохранен рф ? зимбабв ? туп ? хохл","1"
"шапк ссылк инф текущ фильм марвел ссылк замен фраз репорт брипидор игнориру пост недостаточн поня модератор абсолютн неадекват нужн лиш полномоч эт борд пробива абсолютн дно неадекватн","0"
"упад т ! стро ! технолог ! развор ! трещин пош л ! туп китаз могут нормальн сдела !","1"
"еба разнос шизик","1"
"обосра сид обтека","1"
"пишеш хуйн дегенерат ? поцел губ ! поцел засос","1"
"бактер теб поня ист е рик поподробн сахар а.н веща какой-т бред написа все логичн фраз обращ теб тво проблем - уч изъясня определен заказа книг втор миров войн planeta.ru о извин швал - прост черн услов действительн заказа маняграф","1"
"почита пост автор найдет полезн над помог ) https pikabu.ru story obyichnyie budni dezsluzhbyi","0"
"урод ! ! сем поколен род","1"
"мож ещ модер безмозгл позва","1"
"хорош врат террорист-торчек-шизофреник пруф костюм чутк учен миллиардер филантроп","1"
"всем кстат наплева главн - уровен жизн вдвойн наплева кукарекан тупорыл хохл форума-помойк","1"
"график обидн ) проход сер гта втор част пят кром гта 4. меша график одн част комп куч видеокарт начин 32мб riva tnt заканчив 2гб 560ti котор спокойн игра котор год танк гта5 ведьмака3 куп распродаж нача проход ультр понижен текстур меша понима дрочев график требова график уровн плойк минимум глаз реза повод управлен хвата переходник type c. джойстик иксбокса360 потенциа мобильн игр достаточн заб кнопк забива то nfs mw 2005. сам плох игр","0"
"вообщ мим шел поплач тво головушк подзалупн истеричк дальш пойд туп обманут ваньк те воевак глуп невоспита бедн прошл будущ наеба ресентимент ушл чекист так жирн приживал гейгорк гоблач - все снима личн ответствен жизн поступк очен жал рук теб под отгрызеш","1"
"мэдисон стример троллинг мат детств роня ? теб нрав прикидыва туп прост туп ?","1"
"посмотрел комментар тво пост процент говнокоммент ниж средн отметк","1"
"утвержда чмох ? спал","1"
"обе стран парт войн обе стран эт войн разжига поддержива смотр парн русняв пиздеж пидара треб хорош отношен ? ман украин хуяр роис град ? украин засыла роис террорист бандит ихтамнет ? харк теб ебл спидозн твар","1"
"прич чувств юмор ? придума - опроверг ? писа счита весел нац","1"
"агресс ткнул тво дерьм обтека отрицательн эмоц прост факт","1"
"имееш прот кремл холоп заморск барин ?","1"
"ох ва сторон нож реза подскажеш ? деб хваста рязанск ебл ещ гугл незнаком словечк вся сут ник нужн селюк ник нужн тред","1"
"смешн урод могут поржа объясн урод приспособ эт жит пок потребля удобн том прода хавк цацк скор верн ваш утвержден мир ебанут узк смотрет","1"
"https pp.userapi.com c848520 v848520411 11627b cohwqfbgjwe.jpg","0"
"пыта украинск прекрасн чита отличн чита будуч русск либерал уч специальн украинск вон лог ( чев ) ( бол ) шенк ватник прич поеха справк позволя езд пригородн поезд понима украинск белоррусск польск сво пруф ищ инфожд новоросс эксперементальн полигон пын провод эксперемент определен уровн терпильн россия допуст снача новоросс ввод новшевств россиян терп так вещ введут рф новоросс новохуесосс давн ясн полигон якоб независим белар","1"
"ещ русн дегенерат пиздец прост","1"
"теб сказа неч понима ? нет сво пониман вопрос животн хуж отвеча так высер типичн представител травл тред","1"
"дива политолог слил обычн","1"
"как пор неадекват - оскорблен ? пикаб тысяч так комментар модератор будуч призва удаля дурак называ вопрос дурак ? так вопрос пикаб тысяч вплот ебанут ? долбоеб ? - счита оскорблен удаля счита оскорблен тысяч оскорблен счита прав одн случа работа друг угодн прав","1"
"50к год либ теб уш ссыт завидова либ зна рабств каком-т бодишоп ? средн американец лох какой-т туд наш бод шоп перевоз люд 80к год учет виз котор запреща смен работодател ( т.е услов средн лучш равн никуд денеш ) зашел glassdoor медиа зарплат почита позор сво выдума знаком страховк цифр смог прочита ? короч методичк хорош те тем сраз вид пиздабол","1"
